timestamp,hour,minute,day_of_week,is_weekday,hour_sin,hour_cos,dow_sin,dow_cos,gpu_utilization,queue_depth,gpu_demand,gpu_demand_next_15m
2026-08-10 00:00:00,0,0,0,1,0.0,1.0,0.0,1.0,11.99,2,0.917,0.457
2026-08-10 00:05:00,0,5,0,1,0.02181488503456112,0.9997620270799091,0.0,1.0,9.06,0,0.655,0.303
2026-08-10 00:10:00,0,10,0,1,0.043619387365336,0.9990482215818578,0.0,1.0,11.12,2,1.192,0.604
2026-08-10 00:15:00,0,15,0,1,0.06540312923014306,0.9978589232386035,0.0,1.0,7.68,0,0.457,0.086
2026-08-10 00:20:00,0,20,0,1,0.08715574274765817,0.9961946980917455,0.0,1.0,10.97,0,0.303,0.778
2026-08-10 00:25:00,0,25,0,1,0.10886687485196457,0.9940563382223196,0.0,1.0,13.27,0,0.604,0.659
2026-08-10 00:30:00,0,30,0,1,0.13052619222005157,0.9914448613738104,0.0,1.0,6.37,0,0.086,0.52
2026-08-10 00:35:00,0,35,0,1,0.15212338618991672,0.9883615104677607,0.0,1.0,7.48,1,0.778,0.478
2026-08-10 00:40:00,0,40,0,1,0.17364817766693033,0.984807753012208,0.0,1.0,7.82,1,0.659,0.843
2026-08-10 00:45:00,0,45,0,1,0.19509032201612825,0.9807852804032304,0.0,1.0,7.6,1,0.52,2.047
2026-08-10 00:50:00,0,50,0,1,0.21643961393810288,0.9762960071199334,0.0,1.0,9.95,0,0.478,1.088
2026-08-10 00:55:00,0,55,0,1,0.23768589232617307,0.9713420698132614,0.0,1.0,9.08,2,0.843,0.002
2026-08-10 01:00:00,1,0,0,1,0.25881904510252074,0.9659258262890683,0.0,1.0,21.11,3,2.047,0.97
2026-08-10 01:05:00,1,5,0,1,0.27982901403099203,0.9600498543859287,0.0,1.0,12.95,1,1.088,0.479
2026-08-10 01:10:00,1,10,0,1,0.3007057995042732,0.9537169507482269,0.0,1.0,5.96,0,0.002,1.253
2026-08-10 01:15:00,1,15,0,1,0.3214394653031616,0.9469301294951057,0.0,1.0,8.16,1,0.97,0.547
2026-08-10 01:20:00,1,20,0,1,0.3420201433256687,0.9396926207859084,0.0,1.0,5.48,1,0.479,1.199
2026-08-10 01:25:00,1,25,0,1,0.36243803828370164,0.9320078692827986,0.0,1.0,12.33,2,1.253,0.62
2026-08-10 01:30:00,1,30,0,1,0.3826834323650898,0.9238795325112867,0.0,1.0,9.17,0,0.547,1.467
2026-08-10 01:35:00,1,35,0,1,0.40274668985873724,0.9153114791194471,0.0,1.0,11.33,1,1.199,0.722
2026-08-10 01:40:00,1,40,0,1,0.4226182617406994,0.9063077870366499,0.0,1.0,9.29,0,0.62,1.258
2026-08-10 01:45:00,1,45,0,1,0.44228869021900125,0.8968727415326884,0.0,1.0,13.25,3,1.467,0.654
2026-08-10 01:50:00,1,50,0,1,0.46174861323503397,0.8870108331782217,0.0,1.0,11.45,2,0.722,0.738
2026-08-10 01:55:00,1,55,0,1,0.48098876891938763,0.8767267557075077,0.0,1.0,9.86,1,1.258,1.095
2026-08-10 02:00:00,2,0,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,8.41,0,0.654,1.117
2026-08-10 02:05:00,2,5,0,1,0.5187732581605214,0.8549118706729466,0.0,1.0,10.35,1,0.738,0.604
